--- Log Capture Start: 20260330_180250 ---
03-30 18:02:39.083 D/BleProximity: 📡 EMA 信号: -98 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:39.388 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:39.689 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:39.991 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:40.297 D/BleProximity: 📡 EMA 信号: -98 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:40.599 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:40.903 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:41.216 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:41.511 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:41.817 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:42.126 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:42.426 D/BleProximity: 📡 EMA 信号: -96 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:42.731 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:43.044 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:43.346 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:43.648 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:43.958 D/BleProximity: 📡 EMA 信号: -96 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:44.263 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:44.572 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:44.874 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:45.178 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:45.476 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:45.791 D/BleProximity: 📡 EMA 信号: -94 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:46.094 D/BleProximity: 📡 EMA 信号: -93 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:46.409 D/BleProximity: 📡 EMA 信号: -94 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:46.705 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:47.009 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:47.323 D/BleProximity: 📡 EMA 信号: -95 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:47.621 D/BleProximity: 📡 EMA 信号: -96 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:47.923 D/BleProximity: 📡 EMA 信号: -97 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:48.228 D/BleProximity: 📡 EMA 信号: -98 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:48.534 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:48.847 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:49.150 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:49.454 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:49.765 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
03-30 18:02:50.065 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
