--- Log Capture Start: 20260405_184517 ---
04-05 18:41:42.109 D/BleProximity: 📡 EMA 信号: -49 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.210 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.310 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.411 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.512 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.613 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.716 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.815 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:42.915 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.018 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.119 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.227 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.322 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.422 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.523 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.624 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.725 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.826 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:43.926 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.028 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.127 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.228 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.328 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.429 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.530 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.633 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.734 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
04-05 18:41:44.836 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-75.0 | 解锁阈值:-67.0
