--- Log Capture Start: 20260214_144931 ---
02-14 14:13:18.460 D/BleProximity: 🔐 处理认证挑战: 626563303336386664313165
02-14 14:13:18.620 D/BleProximity: 📶 RSSI: -77
02-14 14:13:18.620 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 14:13:18.925 D/BleProximity: 📶 RSSI: -79
02-14 14:13:18.925 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 14:13:19.228 D/BleProximity: 📶 RSSI: -78
02-14 14:13:19.533 D/BleProximity: 📶 RSSI: -81
02-14 14:13:19.835 D/BleProximity: 📶 RSSI: -76
02-14 14:13:20.135 D/BleProximity: 📶 RSSI: -78
02-14 14:13:20.450 D/BleProximity: 📶 RSSI: -80
02-14 14:13:20.752 D/BleProximity: 📶 RSSI: -78
02-14 14:13:21.056 D/BleProximity: 📶 RSSI: -77
02-14 14:13:21.360 D/BleProximity: 📶 RSSI: -80
02-14 14:13:21.399 D/BleProximity: ⏱️ 指令超时无响应: 120秒打火
02-14 14:13:21.400 D/BleProximity: 📊 指令出队: 120秒打火 -> TIMEOUT
02-14 14:13:21.661 D/BleProximity: 📶 RSSI: -78
02-14 14:13:21.963 D/BleProximity: 📶 RSSI: -80
02-14 14:13:22.267 D/BleProximity: 📶 RSSI: -79
02-14 14:13:22.580 D/BleProximity: 📶 RSSI: -74
02-14 14:13:22.882 D/BleProximity: 📶 RSSI: -77
02-14 14:13:23.185 D/BleProximity: 📶 RSSI: -78
02-14 14:13:23.488 D/BleProximity: 📶 RSSI: -76
02-14 14:13:23.785 D/BleProximity: 📶 RSSI: -76
02-14 14:13:24.092 D/BleProximity: 📶 RSSI: -76
02-14 14:13:24.393 D/BleProximity: 📶 RSSI: -75
02-14 14:13:24.694 D/BleProximity: 📶 RSSI: -79
02-14 14:13:24.997 D/BleProximity: 📶 RSSI: -80
02-14 14:13:25.306 D/BleProximity: 📶 RSSI: -81
02-14 14:13:25.612 D/BleProximity: 📶 RSSI: -80
02-14 14:13:25.913 D/BleProximity: 📶 RSSI: -83
02-14 14:13:26.218 D/BleProximity: 📶 RSSI: -79
02-14 14:13:26.522 D/BleProximity: 📶 RSSI: -79
02-14 14:13:26.823 D/BleProximity: 📶 RSSI: -80
02-14 14:13:27.125 D/BleProximity: 📶 RSSI: -80
02-14 14:13:27.427 D/BleProximity: 📶 RSSI: -78
02-14 14:13:27.739 D/BleProximity: 📶 RSSI: -75
02-14 14:13:28.042 D/BleProximity: 📶 RSSI: -78
02-14 14:13:28.338 D/BleProximity: 📶 RSSI: -76
02-14 14:13:28.648 D/BleProximity: 📶 RSSI: -75
02-14 14:13:28.951 D/BleProximity: 📶 RSSI: -77
02-14 14:13:29.253 D/BleProximity: 📶 RSSI: -79
02-14 14:13:29.551 D/BleProximity: 📶 RSSI: -78
02-14 14:13:29.855 D/BleProximity: 📶 RSSI: -77
02-14 14:13:30.156 D/BleProximity: 📶 RSSI: -81
02-14 14:13:30.465 D/BleProximity: 📶 RSSI: -79
02-14 14:13:30.768 D/BleProximity: 📶 RSSI: -77
02-14 14:13:31.072 D/BleProximity: 📶 RSSI: -78
02-14 14:13:31.374 D/BleProximity: 📶 RSSI: -80
02-14 14:13:31.677 D/BleProximity: 📶 RSSI: -77
02-14 14:13:31.980 D/BleProximity: 📶 RSSI: -77
02-14 14:13:32.282 D/BleProximity: 📶 RSSI: -77
02-14 14:13:32.583 D/BleProximity: 📶 RSSI: -77
02-14 14:13:32.884 D/BleProximity: 📶 RSSI: -80
02-14 14:13:33.190 D/BleProximity: 📶 RSSI: -76
02-14 14:13:33.493 D/BleProximity: 📶 RSSI: -77
02-14 14:13:33.802 D/BleProximity: 📶 RSSI: -80
02-14 14:13:34.108 D/BleProximity: 📶 RSSI: -83
02-14 14:13:34.403 D/BleProximity: 📶 RSSI: -82
02-14 14:13:34.712 D/BleProximity: 📶 RSSI: -82
02-14 14:13:35.013 D/BleProximity: 📶 RSSI: -84
02-14 14:13:35.312 D/BleProximity: 📶 RSSI: -81
02-14 14:13:35.616 D/BleProximity: 📶 RSSI: -82
02-14 14:13:35.925 D/BleProximity: 📶 RSSI: -81
02-14 14:13:36.227 D/BleProximity: 📶 RSSI: -76
02-14 14:13:36.533 D/BleProximity: 📶 RSSI: -76
02-14 14:13:36.834 D/BleProximity: 📶 RSSI: -74
02-14 14:13:37.137 D/BleProximity: 📶 RSSI: -74
02-14 14:13:37.439 D/BleProximity: 📶 RSSI: -77
02-14 14:13:37.743 D/BleProximity: 📶 RSSI: -78
02-14 14:13:38.043 D/BleProximity: 📶 RSSI: -73
02-14 14:13:38.343 D/BleProximity: 📶 RSSI: -74
02-14 14:13:38.650 D/BleProximity: 📶 RSSI: -74
02-14 14:13:38.960 D/BleProximity: 📶 RSSI: -75
02-14 14:13:39.267 D/BleProximity: 📶 RSSI: -75
02-14 14:13:39.567 D/BleProximity: 📶 RSSI: -79
02-14 14:13:39.872 D/BleProximity: 📶 RSSI: -81
02-14 14:13:40.173 D/BleProximity: 📶 RSSI: -79
02-14 14:13:40.471 D/BleProximity: 📶 RSSI: -81
02-14 14:13:40.784 D/BleProximity: 📶 RSSI: -81
02-14 14:13:41.085 D/BleProximity: 📶 RSSI: -80
02-14 14:13:41.385 D/BleProximity: 📶 RSSI: -80
02-14 14:13:41.687 D/BleProximity: 📶 RSSI: -80
02-14 14:13:41.998 D/BleProximity: 📶 RSSI: -78
02-14 14:13:42.297 D/BleProximity: 📶 RSSI: -78
02-14 14:13:42.600 D/BleProximity: 📶 RSSI: -81
02-14 14:13:42.903 D/BleProximity: 📶 RSSI: -80
02-14 14:13:43.205 D/BleProximity: 📶 RSSI: -79
02-14 14:13:43.514 D/BleProximity: 📶 RSSI: -79
02-14 14:13:43.817 D/BleProximity: 📶 RSSI: -82
02-14 14:13:44.121 D/BleProximity: 📶 RSSI: -80
02-14 14:13:44.424 D/BleProximity: 📶 RSSI: -82
02-14 14:13:44.729 D/BleProximity: 📶 RSSI: -83
02-14 14:13:45.030 D/BleProximity: 📶 RSSI: -83
02-14 14:13:45.332 D/BleProximity: 📶 RSSI: -80
02-14 14:13:45.633 D/BleProximity: 📶 RSSI: -77
02-14 14:13:45.935 D/BleProximity: 📶 RSSI: -79
02-14 14:13:46.244 D/BleProximity: 📶 RSSI: -80
02-14 14:13:46.546 D/BleProximity: 📶 RSSI: -82
02-14 14:13:46.856 D/BleProximity: 📶 RSSI: -81
02-14 14:13:47.158 D/BleProximity: 📶 RSSI: -79
02-14 14:13:47.455 D/BleProximity: 📶 RSSI: -78
02-14 14:13:47.763 D/BleProximity: 📶 RSSI: -79
02-14 14:13:48.063 D/BleProximity: 📶 RSSI: -70
02-14 14:13:48.366 D/BleProximity: 📶 RSSI: -71
02-14 14:13:48.668 D/BleProximity: 📶 RSSI: -75
02-14 14:13:48.978 D/BleProximity: 📶 RSSI: -78
02-14 14:13:49.282 D/BleProximity: 📶 RSSI: -76
02-14 14:13:49.584 D/BleProximity: 📶 RSSI: -74
02-14 14:13:49.886 D/BleProximity: 📶 RSSI: -71
02-14 14:13:50.188 D/BleProximity: 📶 RSSI: -73
02-14 14:13:50.493 D/BleProximity: 📶 RSSI: -73
02-14 14:13:50.795 D/BleProximity: 📶 RSSI: -74
02-14 14:13:51.097 D/BleProximity: 📶 RSSI: -75
02-14 14:13:51.400 D/BleProximity: 📶 RSSI: -75
02-14 14:13:51.701 D/BleProximity: 📶 RSSI: -76
02-14 14:13:52.011 D/BleProximity: 📶 RSSI: -78
02-14 14:13:52.618 D/BleProximity: 📶 RSSI: -81
02-14 14:13:52.921 D/BleProximity: 📶 RSSI: -79
02-14 14:13:53.219 D/BleProximity: 📶 RSSI: -74
02-14 14:13:53.523 D/BleProximity: 📶 RSSI: -71
02-14 14:13:53.828 D/BleProximity: 📶 RSSI: -72
02-14 14:13:54.140 D/BleProximity: 📶 RSSI: -70
02-14 14:13:54.444 D/BleProximity: 📶 RSSI: -70
02-14 14:13:54.748 D/BleProximity: 📶 RSSI: -69
02-14 14:13:55.053 D/BleProximity: 📶 RSSI: -71
02-14 14:13:55.353 D/BleProximity: 📶 RSSI: -69
02-14 14:13:55.657 D/BleProximity: 📶 RSSI: -69
02-14 14:13:55.965 D/BleProximity: 📶 RSSI: -69
02-14 14:13:56.267 D/BleProximity: 📶 RSSI: -70
02-14 14:13:56.572 D/BleProximity: 📶 RSSI: -71
02-14 14:13:56.874 D/BleProximity: 📶 RSSI: -72
02-14 14:13:57.177 D/BleProximity: 📶 RSSI: -71
02-14 14:13:57.479 D/BleProximity: 📶 RSSI: -72
02-14 14:13:57.782 D/BleProximity: 📶 RSSI: -74
02-14 14:13:58.083 D/BleProximity: 📶 RSSI: -72
02-14 14:13:58.380 D/BleProximity: 📶 RSSI: -74
02-14 14:13:58.685 D/BleProximity: 📶 RSSI: -77
02-14 14:13:58.987 D/BleProximity: 📶 RSSI: -79
02-14 14:13:59.296 D/BleProximity: 📶 RSSI: -77
02-14 14:13:59.593 D/BleProximity: 📶 RSSI: -78
02-14 14:13:59.905 D/BleProximity: 📶 RSSI: -79
02-14 14:14:00.207 D/BleProximity: 📶 RSSI: -80
02-14 14:14:00.508 D/BleProximity: 📶 RSSI: -84
02-14 14:14:00.813 D/BleProximity: 📶 RSSI: -85
02-14 14:14:01.117 D/BleProximity: 📶 RSSI: -83
02-14 14:14:01.419 D/BleProximity: 📶 RSSI: -81
02-14 14:14:01.722 D/BleProximity: 📶 RSSI: -80
02-14 14:14:02.030 D/BleProximity: 📶 RSSI: -80
02-14 14:14:02.336 D/BleProximity: 📶 RSSI: -80
02-14 14:14:02.641 D/BleProximity: 📶 RSSI: -81
02-14 14:14:02.942 D/BleProximity: 📶 RSSI: -85
02-14 14:14:03.246 D/BleProximity: 📶 RSSI: -82
