--- Log Capture Start: 20260515_115934 ---
05-15 11:59:16.899 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.002 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.105 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.208 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.308 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.428 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.525 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.634 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.730 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.834 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:17.937 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.039 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.144 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.252 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.359 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.453 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.566 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.667 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.770 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.879 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:18.981 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.086 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.207 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.306 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.415 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.521 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.624 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.726 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.834 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:19.951 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
