--- Log Capture Start: 20260227_163132 ---
02-27 16:31:04.357 D/BleProximity: 📶 RSSI: -82
02-27 16:31:04.661 D/BleProximity: 📶 RSSI: -82
02-27 16:31:04.964 D/BleProximity: 📶 RSSI: -81
02-27 16:31:05.269 D/BleProximity: 📶 RSSI: -80
02-27 16:31:05.571 D/BleProximity: 📶 RSSI: -82
02-27 16:31:05.872 D/BleProximity: 📶 RSSI: -81
02-27 16:31:06.176 D/BleProximity: 📶 RSSI: -83
02-27 16:31:06.480 D/BleProximity: 📶 RSSI: -83
02-27 16:31:06.781 D/BleProximity: 📶 RSSI: -80
02-27 16:31:07.088 D/BleProximity: 📶 RSSI: -76
02-27 16:31:07.388 D/BleProximity: 📶 RSSI: -77
02-27 16:31:07.690 D/BleProximity: 📶 RSSI: -75
02-27 16:31:07.990 D/BleProximity: 📶 RSSI: -75
02-27 16:31:08.294 D/BleProximity: 📶 RSSI: -73
02-27 16:31:08.602 D/BleProximity: 📶 RSSI: -71
02-27 16:31:08.906 D/BleProximity: 📶 RSSI: -69
02-27 16:31:09.207 D/BleProximity: 📶 RSSI: -69
02-27 16:31:09.507 D/BleProximity: 📶 RSSI: -69
02-27 16:31:09.814 D/BleProximity: 📶 RSSI: -71
02-27 16:31:10.114 D/BleProximity: 📶 RSSI: -72
02-27 16:31:10.419 D/BleProximity: 📶 RSSI: -72
02-27 16:31:10.723 D/BleProximity: 📶 RSSI: -73
02-27 16:31:11.026 D/BleProximity: 📶 RSSI: -75
02-27 16:31:11.344 D/BleProximity: 📶 RSSI: -79
02-27 16:31:11.651 D/BleProximity: 📶 RSSI: -80
02-27 16:31:11.951 D/BleProximity: 📶 RSSI: -80
02-27 16:31:12.256 D/BleProximity: 📶 RSSI: -80
02-27 16:31:12.559 D/BleProximity: 📶 RSSI: -81
02-27 16:31:12.865 D/BleProximity: 📶 RSSI: -82
02-27 16:31:13.168 D/BleProximity: 📶 RSSI: -85
02-27 16:31:13.470 D/BleProximity: 📶 RSSI: -87
02-27 16:31:13.774 D/BleProximity: 📶 RSSI: -86
02-27 16:31:14.100 D/BleProximity: 📶 RSSI: -87
02-27 16:31:14.404 D/BleProximity: 📶 RSSI: -88
02-27 16:31:14.710 D/BleProximity: 📶 RSSI: -87
