--- Log Capture Start: 20260227_185350 ---
02-27 18:25:46.307 D/BleProximity: 📶 RSSI: -45
02-27 18:25:46.608 D/BleProximity: 📶 RSSI: -45
02-27 18:25:46.908 D/BleProximity: 📶 RSSI: -45
02-27 18:25:47.209 D/BleProximity: 📶 RSSI: -45
02-27 18:25:47.510 D/BleProximity: 📶 RSSI: -46
02-27 18:25:47.811 D/BleProximity: 📶 RSSI: -45
02-27 18:25:48.113 D/BleProximity: 📶 RSSI: -46
02-27 18:25:48.413 D/BleProximity: 📶 RSSI: -46
02-27 18:25:48.714 D/BleProximity: 📶 RSSI: -46
02-27 18:25:49.014 D/BleProximity: 📶 RSSI: -46
02-27 18:25:49.315 D/BleProximity: 📶 RSSI: -46
02-27 18:25:49.615 D/BleProximity: 📶 RSSI: -41
02-27 18:25:49.916 D/BleProximity: 📶 RSSI: -40
02-27 18:25:50.218 D/BleProximity: 📶 RSSI: -39
02-27 18:25:50.518 D/BleProximity: 📶 RSSI: -44
02-27 18:25:50.820 D/BleProximity: 📶 RSSI: -45
02-27 18:25:51.120 D/BleProximity: 📶 RSSI: -45
02-27 18:25:51.421 D/BleProximity: 📶 RSSI: -44
02-27 18:25:51.722 D/BleProximity: 📶 RSSI: -45
02-27 18:25:52.022 D/BleProximity: 📶 RSSI: -49
02-27 18:25:52.323 D/BleProximity: 📶 RSSI: -52
02-27 18:25:52.624 D/BleProximity: 📶 RSSI: -48
02-27 18:25:52.925 D/BleProximity: 📶 RSSI: -45
02-27 18:25:53.225 D/BleProximity: 📶 RSSI: -44
02-27 18:25:53.526 D/BleProximity: 📶 RSSI: -43
02-27 18:25:53.828 D/BleProximity: 📶 RSSI: -43
02-27 18:25:54.128 D/BleProximity: 📶 RSSI: -44
02-27 18:25:54.429 D/BleProximity: 📶 RSSI: -45
02-27 18:25:54.730 D/BleProximity: 📶 RSSI: -44
02-27 18:25:55.030 D/BleProximity: 📶 RSSI: -44
02-27 18:25:55.331 D/BleProximity: 📶 RSSI: -45
02-27 18:25:55.631 D/BleProximity: 📶 RSSI: -44
02-27 18:25:55.932 D/BleProximity: 📶 RSSI: -45
02-27 18:25:56.232 D/BleProximity: 📶 RSSI: -48
02-27 18:25:56.534 D/BleProximity: 📶 RSSI: -49
02-27 18:25:56.834 D/BleProximity: 📶 RSSI: -47
