--- Log Capture Start: 20260302_112612 ---
03-02 11:17:51.349 D/BleProximity: 📶 RSSI: -45
03-02 11:17:51.647 D/BleProximity: 📶 RSSI: -45
03-02 11:17:51.948 D/BleProximity: 📶 RSSI: -49
03-02 11:17:52.252 D/BleProximity: 📶 RSSI: -50
03-02 11:17:52.558 D/BleProximity: 📶 RSSI: -51
03-02 11:17:52.859 D/BleProximity: 📶 RSSI: -50
03-02 11:17:53.166 D/BleProximity: 📶 RSSI: -47
03-02 11:17:53.465 D/BleProximity: 📶 RSSI: -45
03-02 11:17:53.766 D/BleProximity: 📶 RSSI: -46
03-02 11:17:54.081 D/BleProximity: 📶 RSSI: -46
03-02 11:17:54.375 D/BleProximity: 📶 RSSI: -45
03-02 11:17:54.677 D/BleProximity: 📶 RSSI: -45
03-02 11:17:54.979 D/BleProximity: 📶 RSSI: -46
03-02 11:17:55.283 D/BleProximity: 📶 RSSI: -46
03-02 11:17:55.586 D/BleProximity: 📶 RSSI: -46
03-02 11:17:55.895 D/BleProximity: 📶 RSSI: -46
03-02 11:17:56.194 D/BleProximity: 📶 RSSI: -45
03-02 11:17:56.500 D/BleProximity: 📶 RSSI: -47
03-02 11:17:56.809 D/BleProximity: 📶 RSSI: -46
03-02 11:17:57.104 D/BleProximity: 📶 RSSI: -47
03-02 11:17:57.410 D/BleProximity: 📶 RSSI: -46
03-02 11:17:57.717 D/BleProximity: 📶 RSSI: -47
03-02 11:17:58.011 D/BleProximity: 📶 RSSI: -46
03-02 11:17:58.316 D/BleProximity: 📶 RSSI: -45
03-02 11:17:58.618 D/BleProximity: 📶 RSSI: -47
03-02 11:17:58.929 D/BleProximity: 📶 RSSI: -47
03-02 11:17:59.234 D/BleProximity: 📶 RSSI: -47
03-02 11:17:59.537 D/BleProximity: 📶 RSSI: -47
03-02 11:17:59.845 D/BleProximity: 📶 RSSI: -48
03-02 11:18:00.145 D/BleProximity: 📶 RSSI: -48
03-02 11:18:00.449 D/BleProximity: 📶 RSSI: -47
03-02 11:18:00.761 D/BleProximity: 📶 RSSI: -47
03-02 11:18:01.060 D/BleProximity: 📶 RSSI: -48
03-02 11:18:01.362 D/BleProximity: 📶 RSSI: -47
03-02 11:18:01.662 D/BleProximity: 📶 RSSI: -48
03-02 11:18:01.968 D/BleProximity: 📶 RSSI: -48
03-02 11:18:02.268 D/BleProximity: 📶 RSSI: -47
03-02 11:18:02.576 D/BleProximity: 📶 RSSI: -48
03-02 11:18:02.876 D/BleProximity: 📶 RSSI: -48
03-02 11:18:03.176 D/BleProximity: 📶 RSSI: -48
03-02 11:18:03.486 D/BleProximity: 📶 RSSI: -48
03-02 11:18:03.784 D/BleProximity: 📶 RSSI: -48
03-02 11:18:04.086 D/BleProximity: 📶 RSSI: -47
03-02 11:18:04.394 D/BleProximity: 📶 RSSI: -48
03-02 11:18:04.694 D/BleProximity: 📶 RSSI: -47
03-02 11:18:04.995 D/BleProximity: 📶 RSSI: -48
03-02 11:18:05.306 D/BleProximity: 📶 RSSI: -48
03-02 11:18:05.611 D/BleProximity: 📶 RSSI: -48
03-02 11:18:05.915 D/BleProximity: 📶 RSSI: -48
03-02 11:18:06.218 D/BleProximity: 📶 RSSI: -48
03-02 11:18:06.524 D/BleProximity: 📶 RSSI: -49
03-02 11:18:06.825 D/BleProximity: 📶 RSSI: -48
03-02 11:18:07.130 D/BleProximity: 📶 RSSI: -48
03-02 11:18:07.433 D/BleProximity: 📶 RSSI: -48
03-02 11:18:07.733 D/BleProximity: 📶 RSSI: -48
03-02 11:18:08.041 D/BleProximity: 📶 RSSI: -48
03-02 11:18:08.340 D/BleProximity: 📶 RSSI: -48
03-02 11:18:08.646 D/BleProximity: 📶 RSSI: -49
03-02 11:18:08.949 D/BleProximity: 📶 RSSI: -48
03-02 11:18:09.250 D/BleProximity: 📶 RSSI: -49
03-02 11:18:09.560 D/BleProximity: 📶 RSSI: -48
03-02 11:18:09.856 D/BleProximity: 📶 RSSI: -49
03-02 11:18:10.174 D/BleProximity: 📶 RSSI: -48
03-02 11:18:10.470 D/BleProximity: 📶 RSSI: -48
03-02 11:18:10.774 D/BleProximity: 📶 RSSI: -48
03-02 11:18:11.079 D/BleProximity: 📶 RSSI: -48
03-02 11:18:11.379 D/BleProximity: 📶 RSSI: -48
