--- Log Capture Start: 20260430_161409 ---
04-30 16:06:27.505 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:27.804 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:28.107 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:28.407 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:28.710 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:29.015 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:29.311 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:29.617 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:29.919 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:30.219 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:30.519 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:30.822 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:31.123 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:31.433 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:31.730 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:32.034 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:32.335 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:32.636 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:32.943 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:33.246 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:33.548 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:06:33.849 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-87.0 | 解锁阈值:-90.0
