--- Log Capture Start: 20260410_222301 ---
04-10 21:48:08.294 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:08.490 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:08.692 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:08.894 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:09.110 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:09.314 D/BleProximity: 📡 EMA 信号: -99 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:09.521 D/BleProximity: 📡 EMA 信号: -100 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:09.724 D/BleProximity: 📡 EMA 信号: -101 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:09.929 D/BleProximity: 📡 EMA 信号: -104 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:10.131 D/BleProximity: 📡 EMA 信号: -106 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:10.333 D/BleProximity: 📡 EMA 信号: -105 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:10.546 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:10.753 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:10.958 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:11.164 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:11.369 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:11.578 D/BleProximity: 📡 EMA 信号: -105 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:11.782 D/BleProximity: 📡 EMA 信号: -106 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:11.987 D/BleProximity: 📡 EMA 信号: -107 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:12.192 D/BleProximity: 📡 EMA 信号: -107 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:12.411 D/BleProximity: 📡 EMA 信号: -105 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:12.607 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:12.810 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:13.015 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:13.219 D/BleProximity: 📡 EMA 信号: -105 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:13.425 D/BleProximity: 📡 EMA 信号: -105 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:13.629 D/BleProximity: 📡 EMA 信号: -106 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:13.840 D/BleProximity: 📡 EMA 信号: -104 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:14.046 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:14.254 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:14.456 D/BleProximity: 📡 EMA 信号: -102 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:14.686 D/BleProximity: 📡 EMA 信号: -102 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:14.873 D/BleProximity: 📡 EMA 信号: -102 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-10 21:48:15.079 D/BleProximity: 📡 EMA 信号: -103 | 落锁阈值:-90.0 | 解锁阈值:-87.0
