--- Log Capture Start: 20260218_182857 ---
02-18 18:26:24.677 D/BleProximity: 📶 RSSI: -87
02-18 18:26:24.982 D/BleProximity: 📶 RSSI: -86
02-18 18:26:25.285 D/BleProximity: 📶 RSSI: -87
02-18 18:26:25.589 D/BleProximity: 📶 RSSI: -87
02-18 18:26:25.894 D/BleProximity: 📶 RSSI: -87
02-18 18:26:26.198 D/BleProximity: 📶 RSSI: -87
02-18 18:26:26.501 D/BleProximity: 📶 RSSI: -87
02-18 18:26:26.801 D/BleProximity: 📶 RSSI: -87
02-18 18:26:27.108 D/BleProximity: 📶 RSSI: -87
02-18 18:26:27.402 D/BleProximity: 📶 RSSI: -88
02-18 18:26:27.703 D/BleProximity: 📶 RSSI: -89
02-18 18:26:28.005 D/BleProximity: 📶 RSSI: -89
02-18 18:26:28.315 D/BleProximity: 📶 RSSI: -89
02-18 18:26:28.611 D/BleProximity: 📶 RSSI: -89
02-18 18:26:28.916 D/BleProximity: 📶 RSSI: -90
02-18 18:26:29.222 D/BleProximity: 📶 RSSI: -87
02-18 18:26:29.543 D/BleProximity: 📶 RSSI: -88
02-18 18:26:29.855 D/BleProximity: 📶 RSSI: -86
02-18 18:26:30.171 D/BleProximity: 📶 RSSI: -87
02-18 18:26:30.487 D/BleProximity: 📶 RSSI: -87
02-18 18:26:30.799 D/BleProximity: 📶 RSSI: -86
02-18 18:26:31.118 D/BleProximity: 📶 RSSI: -85
02-18 18:26:31.435 D/BleProximity: 📶 RSSI: -86
02-18 18:26:31.751 D/BleProximity: 📶 RSSI: -84
02-18 18:26:32.066 D/BleProximity: 📶 RSSI: -84
02-18 18:26:32.381 D/BleProximity: 📶 RSSI: -85
02-18 18:26:32.697 D/BleProximity: 📶 RSSI: -84
02-18 18:26:32.994 D/BleProximity: 📶 RSSI: -85
02-18 18:26:33.297 D/BleProximity: 📶 RSSI: -81
02-18 18:26:33.602 D/BleProximity: 📶 RSSI: -79
02-18 18:26:33.896 D/BleProximity: 📶 RSSI: -79
