--- Log Capture Start: 20260301_140959 ---
03-01 14:09:14.731 D/BleProximity: 📶 RSSI: -95
03-01 14:09:15.033 D/BleProximity: 📶 RSSI: -94
03-01 14:09:15.332 D/BleProximity: 📶 RSSI: -94
03-01 14:09:15.635 D/BleProximity: 📶 RSSI: -94
03-01 14:09:15.937 D/BleProximity: 📶 RSSI: -94
03-01 14:09:16.235 D/BleProximity: 📶 RSSI: -94
03-01 14:09:16.537 D/BleProximity: 📶 RSSI: -95
03-01 14:09:16.839 D/BleProximity: 📶 RSSI: -95
03-01 14:09:17.138 D/BleProximity: 📶 RSSI: -96
03-01 14:09:17.448 D/BleProximity: 📶 RSSI: -96
03-01 14:09:17.744 D/BleProximity: 📶 RSSI: -96
03-01 14:09:18.051 D/BleProximity: 📶 RSSI: -96
03-01 14:09:18.353 D/BleProximity: 📶 RSSI: -96
03-01 14:09:18.653 D/BleProximity: 📶 RSSI: -96
03-01 14:09:18.956 D/BleProximity: 📶 RSSI: -96
03-01 14:09:19.257 D/BleProximity: 📶 RSSI: -97
03-01 14:09:19.556 D/BleProximity: 📶 RSSI: -96
03-01 14:09:19.861 D/BleProximity: 📶 RSSI: -96
03-01 14:09:20.162 D/BleProximity: 📶 RSSI: -96
03-01 14:09:20.466 D/BleProximity: 📶 RSSI: -96
03-01 14:09:20.767 D/BleProximity: 📶 RSSI: -97
03-01 14:09:21.069 D/BleProximity: 📶 RSSI: -97
03-01 14:09:21.367 D/BleProximity: 📶 RSSI: -97
03-01 14:09:21.669 D/BleProximity: 📶 RSSI: -97
03-01 14:09:21.971 D/BleProximity: 📶 RSSI: -97
03-01 14:09:22.279 D/BleProximity: 📶 RSSI: -95
03-01 14:09:22.576 D/BleProximity: 📶 RSSI: -95
03-01 14:09:22.880 D/BleProximity: 📶 RSSI: -95
03-01 14:09:23.185 D/BleProximity: 📶 RSSI: -95
03-01 14:09:23.477 D/BleProximity: 📶 RSSI: -96
03-01 14:09:23.789 D/BleProximity: 📶 RSSI: -96
03-01 14:09:24.088 D/BleProximity: 📶 RSSI: -96
03-01 14:09:24.390 D/BleProximity: 📶 RSSI: -96
03-01 14:09:24.692 D/BleProximity: 📶 RSSI: -96
03-01 14:09:24.994 D/BleProximity: 📶 RSSI: -96
03-01 14:09:25.300 D/BleProximity: 📶 RSSI: -96
03-01 14:09:25.599 D/BleProximity: 📶 RSSI: -96
03-01 14:09:25.901 D/BleProximity: 📶 RSSI: -96
03-01 14:09:26.203 D/BleProximity: 📶 RSSI: -96
03-01 14:09:26.510 D/BleProximity: 📶 RSSI: -96
03-01 14:09:26.809 D/BleProximity: 📶 RSSI: -97
03-01 14:09:27.112 D/BleProximity: 📶 RSSI: -97
03-01 14:09:27.416 D/BleProximity: 📶 RSSI: -97
03-01 14:09:27.718 D/BleProximity: 📶 RSSI: -96
03-01 14:09:28.020 D/BleProximity: 📶 RSSI: -96
03-01 14:09:28.323 D/BleProximity: 📶 RSSI: -96
03-01 14:09:28.623 D/BleProximity: 📶 RSSI: -96
03-01 14:09:28.925 D/BleProximity: 📶 RSSI: -96
03-01 14:09:29.227 D/BleProximity: 📶 RSSI: -96
03-01 14:09:29.528 D/BleProximity: 📶 RSSI: -96
03-01 14:09:29.829 D/BleProximity: 📶 RSSI: -96
03-01 14:09:30.127 D/BleProximity: 📶 RSSI: -96
03-01 14:09:30.431 D/BleProximity: 📶 RSSI: -96
03-01 14:09:30.730 D/BleProximity: 📶 RSSI: -96
03-01 14:09:31.040 D/BleProximity: 📶 RSSI: -97
03-01 14:09:31.335 D/BleProximity: 📶 RSSI: -97
03-01 14:09:31.639 D/BleProximity: 📶 RSSI: -97
03-01 14:09:31.946 D/BleProximity: 📶 RSSI: -97
03-01 14:09:32.249 D/BleProximity: 📶 RSSI: -97
03-01 14:09:32.545 D/BleProximity: 📶 RSSI: -96
03-01 14:09:32.851 D/BleProximity: 📶 RSSI: -96
03-01 14:09:33.151 D/BleProximity: 📶 RSSI: -96
03-01 14:09:33.450 D/BleProximity: 📶 RSSI: -96
03-01 14:09:33.755 D/BleProximity: 📶 RSSI: -96
03-01 14:09:34.054 D/BleProximity: 📶 RSSI: -96
03-01 14:09:34.359 D/BleProximity: 📶 RSSI: -96
03-01 14:09:34.658 D/BleProximity: 📶 RSSI: -97
03-01 14:09:34.960 D/BleProximity: 📶 RSSI: -97
03-01 14:09:35.259 D/BleProximity: 📶 RSSI: -97
03-01 14:09:35.558 D/BleProximity: 📶 RSSI: -97
03-01 14:09:35.859 D/BleProximity: 📶 RSSI: -97
03-01 14:09:36.162 D/BleProximity: 📶 RSSI: -97
03-01 14:09:36.466 D/BleProximity: 📶 RSSI: -97
03-01 14:09:36.767 D/BleProximity: 📶 RSSI: -97
03-01 14:09:37.067 D/BleProximity: 📶 RSSI: -97
03-01 14:09:37.369 D/BleProximity: 📶 RSSI: -97
03-01 14:09:37.673 D/BleProximity: 📶 RSSI: -97
03-01 14:09:37.975 D/BleProximity: 📶 RSSI: -97
03-01 14:09:38.279 D/BleProximity: 📶 RSSI: -98
03-01 14:09:38.577 D/BleProximity: 📶 RSSI: -98
03-01 14:09:38.879 D/BleProximity: 📶 RSSI: -98
03-01 14:09:39.182 D/BleProximity: 📶 RSSI: -98
03-01 14:09:39.483 D/BleProximity: 📶 RSSI: -98
03-01 14:09:39.790 D/BleProximity: 📶 RSSI: -98
03-01 14:09:40.089 D/BleProximity: 📶 RSSI: -99
03-01 14:09:40.387 D/BleProximity: 📶 RSSI: -99
03-01 14:09:40.687 D/BleProximity: 📶 RSSI: -99
03-01 14:09:40.986 D/BleProximity: 📶 RSSI: -99
03-01 14:09:41.289 D/BleProximity: 📶 RSSI: -99
03-01 14:09:41.590 D/BleProximity: 📶 RSSI: -99
03-01 14:09:41.892 D/BleProximity: 📶 RSSI: -99
03-01 14:09:42.200 D/BleProximity: 📶 RSSI: -99
03-01 14:09:42.497 D/BleProximity: 📶 RSSI: -99
03-01 14:09:42.802 D/BleProximity: 📶 RSSI: -99
03-01 14:09:43.104 D/BleProximity: 📶 RSSI: -99
03-01 14:09:43.406 D/BleProximity: 📶 RSSI: -99
03-01 14:09:43.710 D/BleProximity: 📶 RSSI: -99
03-01 14:09:44.009 D/BleProximity: 📶 RSSI: -99
03-01 14:09:44.312 D/BleProximity: 📶 RSSI: -99
03-01 14:09:44.607 D/BleProximity: 📶 RSSI: -99
03-01 14:09:44.915 D/BleProximity: 📶 RSSI: -99
03-01 14:09:45.215 D/BleProximity: 📶 RSSI: -99
03-01 14:09:45.517 D/BleProximity: 📶 RSSI: -99
03-01 14:09:45.818 D/BleProximity: 📶 RSSI: -99
03-01 14:09:46.118 D/BleProximity: 📶 RSSI: -99
03-01 14:09:46.417 D/BleProximity: 📶 RSSI: -99
03-01 14:09:46.720 D/BleProximity: 📶 RSSI: -99
03-01 14:09:47.021 D/BleProximity: 📶 RSSI: -99
03-01 14:09:47.330 D/BleProximity: 📶 RSSI: -99
03-01 14:09:47.630 D/BleProximity: 📶 RSSI: -99
03-01 14:09:47.933 D/BleProximity: 📶 RSSI: -99
03-01 14:09:48.244 D/BleProximity: 📶 RSSI: -99
03-01 14:09:48.545 D/BleProximity: 📶 RSSI: -99
03-01 14:09:48.847 D/BleProximity: 📶 RSSI: -99
03-01 14:09:49.152 D/BleProximity: 📶 RSSI: -99
03-01 14:09:49.458 D/BleProximity: 📶 RSSI: -99
03-01 14:09:49.765 D/BleProximity: 📶 RSSI: -99
03-01 14:09:50.069 D/BleProximity: 📶 RSSI: -99
03-01 14:09:50.367 D/BleProximity: 📶 RSSI: -99
03-01 14:09:50.670 D/BleProximity: 📶 RSSI: -99
03-01 14:09:50.972 D/BleProximity: 📶 RSSI: -99
03-01 14:09:51.279 D/BleProximity: 📶 RSSI: -99
03-01 14:09:51.578 D/BleProximity: 📶 RSSI: -99
03-01 14:09:51.708 D/BleProximity: ⚙️ 底层状态反馈: status=8, newState=0
03-01 14:09:51.708 D/BleProximity: ❌ 蓝牙底层断开连接 (Status: 8)
03-01 14:09:51.709 D/BleProximity: 📡 状态变更: DISCONNECTED (监听器: 1, Session: 1)
03-01 14:09:51.709 D/BleProximity: 📡 连接状态: DISCONNECTED (isConnected: false)
03-01 14:09:51.713 D/BleProximity: ⚠️ 检测到断连，Session 将自动重连
03-01 14:09:51.714 D/BleProximity: 🔄 仍有活跃 Session，将在 2 秒后重新扫描...
03-01 14:09:53.714 D/BleProximity: 🔍 开始扫描
03-01 14:09:53.715 D/BleProximity: 🔍 开始扫描 (尝试次数: 1)
