--- Log Capture Start: 20260407_143419 ---
04-07 10:12:48.527 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:48.741 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:48.957 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:49.169 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:49.385 D/BleProximity: 📡 EMA 信号: -46 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:49.596 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:49.810 D/BleProximity: 📡 EMA 信号: -47 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:50.027 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:50.240 D/BleProximity: 📡 EMA 信号: -48 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:50.454 D/BleProximity: 📡 EMA 信号: -49 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:50.668 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:50.881 D/BleProximity: 📡 EMA 信号: -49 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:51.095 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:51.309 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:51.522 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:51.732 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:51.947 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:52.162 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:52.376 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:52.592 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:52.805 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:53.012 D/BleProximity: 📡 EMA 信号: -50 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:53.230 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:53.447 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:53.659 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:53.870 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:54.083 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:54.298 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:54.505 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:54.712 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:54.928 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:55.139 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:55.355 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:55.568 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:55.784 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:55.996 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:56.203 D/BleProximity: 📡 EMA 信号: -54 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:56.422 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:56.639 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:56.852 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:57.069 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:57.282 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:57.497 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:57.711 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:57.927 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:58.138 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:58.352 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:58.571 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:58.787 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:58.999 D/BleProximity: 📡 EMA 信号: -54 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:59.215 D/BleProximity: 📡 EMA 信号: -54 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:59.430 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:59.643 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:12:59.863 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:00.076 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:00.293 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:00.506 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:00.726 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:00.935 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:01.155 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:01.369 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:01.636 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:01.827 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:02.042 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:02.258 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:02.470 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:02.696 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:02.893 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:03.098 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:03.311 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:03.527 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:03.756 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:03.966 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:04.169 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:04.384 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:04.588 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:04.797 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:05.013 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:05.219 D/BleProximity: 📡 EMA 信号: -51 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:05.430 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:05.642 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:05.854 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:06.065 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:06.277 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:06.489 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:06.701 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:06.912 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:07.125 D/BleProximity: 📡 EMA 信号: -52 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:07.336 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:07.548 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:07.760 D/BleProximity: 📡 EMA 信号: -53 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:07.971 D/BleProximity: 📡 EMA 信号: -54 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:08.185 D/BleProximity: 📡 EMA 信号: -55 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:08.395 D/BleProximity: 📡 EMA 信号: -55 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:08.607 D/BleProximity: 📡 EMA 信号: -55 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:08.815 D/BleProximity: 📡 EMA 信号: -55 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:09.028 D/BleProximity: 📡 EMA 信号: -55 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:09.240 D/BleProximity: 📡 EMA 信号: -56 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:09.453 D/BleProximity: 📡 EMA 信号: -56 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:09.665 D/BleProximity: 📡 EMA 信号: -56 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:09.875 D/BleProximity: 📡 EMA 信号: -56 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:10.088 D/BleProximity: 📡 EMA 信号: -57 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:10.301 D/BleProximity: 📡 EMA 信号: -57 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:10.515 D/BleProximity: 📡 EMA 信号: -56 | 落锁阈值:-88.0 | 解锁阈值:-86.0
04-07 10:13:10.726 D/BleProximity: 📡 EMA 信号: -57 | 落锁阈值:-88.0 | 解锁阈值:-86.0
